,date,position,track_id,track_name,artist,streams,artist_id,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,total_followers,genres,duration_mins
33969,2017-06-22,170,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,20849,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
34060,2017-06-23,61,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,44955,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
34257,2017-06-24,58,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,46229,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
34452,2017-06-25,53,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,45742,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
34652,2017-06-26,53,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,49908,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
34858,2017-06-27,59,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,44549,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
35066,2017-06-28,67,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,41104,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
35270,2017-06-29,71,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,39265,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
35474,2017-06-30,75,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,35483,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
35672,2017-07-01,73,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,36958,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
35866,2017-07-02,67,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,37290,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
36075,2017-07-03,76,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,34303,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
36282,2017-07-04,83,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,33731,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
36487,2017-07-05,88,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,32327,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
36685,2017-07-06,86,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,32458,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
36886,2017-07-07,87,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,30729,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
37080,2017-07-08,81,7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,33663,41MozSoPIsD1dJM0CLPjZF,3nvfNC0tnGcFXGHrJpqQ6m,213264,2017-06-22,0,0.7859999999999999,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,18224049,"['k-pop', 'k-pop girl group']",3.5544
